Summary,Priority,Severity
Stepping over a conditional breakpoint resumes program,P2,normal
"scrapbook eval always displays ""source not found""",P2,normal
Variable expansion is using incorrect path separators,P2,normal
External tool builder not added,P2,normal
New Ant View doesn't gracefully handle missing targets,P2,major
JRE JAR finder does not find JARs in jre/lib,P2,major
Attached source not recognized,P2,critical
Debug does not honor multiple output folders,P2,blocker
hot code replace drops not re-enter changed method,P2,normal
Streamline single target case for Ant View,P2,enhancement
Ant view toolbars should follow type hierarchy example,P2,enhancement
Ant editor (planty) does not handle relative paths nicely,P2,normal
Adding -logger XmlLogger cause Exception on build finished,P2,normal
Handling bad definitions of extension points,P2,normal
external builder not readded to projects,P2,normal
Ant Runtime Classpath Up/Down buttons broken,P2,normal
"""Widget is disposed"" setting variable arguments for Ant Build",P2,normal
cannot change external tool builder launch configuration properties,P2,major
When things go wrong parsing for the Ant Editor outline,P2,enhancement
XMLElements from external entities have incorrect selection in AntEditor,P2,normal
org.eclipse.ui.externaltools.internal.ant.dtd.test.dumper.java,P2,normal
NPE determining if default target,P2,normal
Variable view not (always) updated when the debug view is hidden,P2,normal
External Processes are not typed,P2,normal
PlantyException on opening ant script,P2,normal
Parse build files faster,P2,normal
Project.init shortcut not working for datatypes,P2,normal
ClassCastException code assisting in Ant Editor,P2,normal
use POST_AUTO_BUILD listener for breakpoint update,P2,normal
AntEditor reconciling has broken resolution of external entities,P2,normal
NPE evaluating in SWT class,P2,normal
Ant Editor doesn't support annotations,P2,normal
BadLocationException on external entity build file,P2,normal
Errors in external entities and nested external entities aren't supported by the editor outline,P2,normal
"""Run Ant"" causes ClassCastException with filesets",P2,normal
AntView actions are incorrecly enabled --> NPE,P2,normal
AssertionFailedException selecting error node in AntEditor outline,P2,normal
AntView search dialog retains name of removed working set,P2,normal
BadLocationException creating build.xml file,P2,normal
Missing NLS strings for Ant Editor preference page,P2,normal
Custom types are broken,P2,normal
ClassCastException with tasks using Xerces,P2,major
Content assist fails if reference external entity,P2,normal
Show type names not working,P2,normal
NPE in launch view event handler on shutdown,P2,normal
API change in JCORE,P2,normal
Additional classpath entries on Ant dont take effect,P2,normal
Separate the Ant UI from ExternalToolsUI,P2,normal
Classpath not set correctly for parsing targets,P2,normal
NPE with missing name for property,P2,normal
Argument expansion consistently fails,P2,normal
Registering an IJavaBreakpointListener causes breakpoints to be ignored.,P2,normal
Launch variable not removed from table on remove,P2,normal
External tool builder not triggered when checking project out from repository,P2,normal
Exception occured creating launch configuration tabs,P2,major
Debug context variables missing descriptions,P2,normal
"Ant target names not quoted when ""Run Ant in a separate Java virtual machine"" is checked",P2,normal
simple launch variables & lazy init of plug-ins,P2,normal
Ant build not triggered on second save,P2,normal
Incorrect error message if remove auto activation delay,P2,normal
Ant editor has no syntax highlighting,P2,major
Scoped external tool builder not triggered if change in different project,P2,normal
"BUILD FAILED message with ant: handling ""-Debug""",P2,normal
watch items will not disappear,P2,critical
Breakpoint not shown as checked when enabled.,P2,normal
Ant build failed error messages no longer shown in console,P2,major
"No way to set working directory, VM args for Ant processes",P2,normal
NPE when setting breakpoint in anonymous class,P2,normal
UI blocked removing breakpoints from breakpoints view with other jobs,P2,major
background content in debug views,P2,enhancement
Internal error on launching ant target,P2,major
Launching without registering an ILaunch,P2,enhancement
NPE creating new Ant launch configuration,P2,major
Exception in error log + blank rendered in sessions view,P2,normal
Breakpoint condition compiler should not matter about NON-NLS strings,P2,normal
"Eclipse ""locks up""  aka super slow when editing a large build.xml",P2,normal
Contextual launch contribution should not set adaptable=true,P2,normal
Scope step actions with debuging context,P2,normal
replace debugModelActivityBinding with pattern binding,P2,normal
Ant Editor adds marker which cannot be deleted,P2,major
Failing code completion tests for Ant,P2,normal
ExternalArchiveSourceContainer needs to handle multiple root paths,P2,normal
No external tool build on clean if first builder disabled,P2,major
Use working sets to store custom breakpoint groups,P2,enhancement
java logical structure descriptions missing,P2,major
Logical structures get confused by object hierarchy,P2,normal
Building Ant plugin Ant support JARs fails,P2,major
Display View unexpectedly brought to top when debug session is suspended,P2,trivial
Axis2:  Missing required libraries in Axis 2 WS Client Projects,P2,major
INDEX_LOCATION_ATTRIBUTE_NAME attribute value is ignored when the index is rebuilt,P2,normal
Extracting Javadoc from 1.7-style generated doc doesn't work reliably,P2,major
Test bundles have wrong bundle version for Luna,P2,normal
[1.8][model] Implement IJavaElements for lambda expression,P2,major
[1.8][dom ast] ITypeBinding#getTypeDeclaration() doesn't strip off type annotations,P2,major
Cannot save a .java file in a non-java project anymore,P2,blocker
False temporary problems reported when using different class name in CU,P2,normal
Error when you clean out all entries from bootstrap classes,P2,enhancement
Step actions disabled,P2,major
Deadlock while stepping,P2,normal
Variable is not updated in the variables view,P2,major
VariableClasspathEntry cannot be compared,P2,normal
Adding library fails when contributing 2 VMs,P2,major
Deadlock while stepping,P2,critical
[jres] Mac always launches system default VM no matter what config says,P2,major
Creating a breakpoint in an external file does not result in qualified names,P2,major
[navigation] Double-click in outline should activate editor,P2,normal
[misc] Double click should auto select comment,P2,enhancement
Undo should undo auto-insertions,P2,normal
Incorrect positions for warning annotations,P2,normal
NPE when opening ClassFile Editor,P2,major
[hovering] parse javadoc information from javadoc files instead of source files,P2,enhancement
[misc] Assertion failed in LinkedPositionManager.getPositions when using surrounding with try-catch,P2,normal
[misc] Backout workaround for bug 41583,P2,trivial
[templates] ${enclosing_*} doesn't work  in M4,P2,major
[misc] Java Editor on big files frozen for seconds after post selection,P2,major
[misc] Editing error - loss of data,P2,critical
[content assist] Support incremental content assist,P2,enhancement
RCP: Add marker action disabled for Java editor,P2,normal
[typing] String constant split/auto-indent leaves carriage returns in file,P2,major
[navigation] Outline prompter is slow,P2,major
[formatting][templates] template formatting fails if produced code is not valid java syntax,P2,normal
[find/replace] Find/Replace has Find button disabled,P2,major
[formatting] formatting adds extra tabs and line breaks,P2,major
[typing] Paste inserts partial string,P2,major
[navigation] M5 performance problems when scrolling using arrow down,P2,major
NPE in JavaAnnotationHover when hovering over  left ruler,P2,normal
Incremental Code completion need defaul keybinding,P2,normal
Annotations: Current Instruction Pointer,P2,normal
[misc] Save in Editor is slow,P2,major
[templates] Template toarray not proposed,P2,major
[misc] StringIndexOutOfBoundsException while indenting,P2,major
[reconciling] JavaMultiPassReconciler removes annotations,P2,critical
Widget disposed errors in log from content assist,P2,major
[reconciling] Annotations disappear in multi-window setup,P2,major
[misc] Label Decorators in Outline View block UI,P2,normal
Ctrl-Right at start of line moves only tab-wise (in M9),P2,normal
[projection] collapsing a foldable region puts caret to start of file,P2,major
[validateEdit] IAE when declining CVS Edit,P2,normal
[spell checking] tons of temporary spell check annotations,P2,major
[misc] Occurrences have same layer as Search Results,P2,normal
[spell checking][preferences] Dictionary is missing,P2,normal
[implementation] Reconciling should be more robust,P2,critical
[hovering] Show why there's no Javadoc,P2,enhancement
Ctrl+Click feature became slow in 3.1,P2,major
[typing] Index out of bounds attempting to paste in Java editor,P2,normal
[nls tooling] Too many false positives when navigating from a key in properties file editor to Java editor,P2,normal
[implementation] One CUE leaked by shell listener in ContentAssist2,P2,major
[implementation] saveAs existing file fails - content replaced with original content,P2,major
[preferences][navigation] correct editor-specific context menus,P2,normal
[syntax highlighting] Unhandled event loop exception; Failed to execute runnable (java.lang.IllegalArgumentException: Illegal Capacity: -11),P2,normal
[performance][projection] Code folding can increase open time of large files by a factor of 4,P2,major
[nls tooling] AssertionFailedException when externalizing strings,P2,major
[content assist] Closing parethesis deleted by code assist,P2,normal
[hovering] Javadoc hover is not showing HTML comments properly,P2,normal
[implementation][preferences] Preferences not stored correctly,P2,normal
[preferences] Access restriction link should open correct section,P2,trivial
[misc] Put Quick Fix in the context menu,P2,enhancement
[5.0][content assist] Completion of static import generates illegal generic.,P2,minor
[implementation] AnnotationPainter draws one pixel too much,P2,normal
[implementation] NPE pasting into a Java editor,P2,major
[implementation] AFE when opening editor .java file from CVS Repositories view,P2,major
[misc] Actions on CUs from repository should be disabled.,P2,normal
[5.0][content assist] content assist  completely replaces the import statement in static import,P2,normal
[implementation] Possible NPE in JavaEditor.adjustHighlightRange,P2,normal
[implementation] AIOOBE in org.eclipse.jdt.internal.ui.text.BufferedDocumentScanner.read,P2,normal
[preferences] Content Assist preference page: should indent checkboxes for access restrictions,P2,trivial
[rulers] expanded ruler icons don't perform any action when clicked,P2,normal
[spell checking] Provide easy setup of user dictionary,P2,enhancement
[performance] Regression in OpenMultipleEditorTest#testOpenMultipleEditors:java[closeAll]()],P2,normal
[Wizards] Radio button looses selection when page is disabled,P2,major
DirtyBufferValidationState becomes stale when buffer closes,P2,critical
Regression: package explorer doesn't show folders with non package names anymore,P2,critical
JDK compliance on New Java project wizard doesn't  change compiler compliance,P2,normal
It's no longer possible to run 2 different JUnit tests simultaneously in an eclipse session,P2,normal
Fix new project wizard tests,P2,normal
[1.8][refactoring] UI refactorings affected by lack of TYPE_USE annotations in ITypeBindings,P2,normal
"Spending 10% of our time doing refreshLocal() on ""Add to Workspace""",P2,normal
Internal error when trying to update large file from CVS,P2,critical
Disconnecting does not clear cache?,P2,normal
Opening closed projects freezes UI during several minutes,P2,normal
saveState illegalWorkbenchState,P2,major
commits denied by CVS access control are not reported or handled by Eclipse,P2,normal
Use of deprecated fontDefinition extension point,P2,normal
PinParticipantAction not removed as an IPropertyChangeListener,P2,normal
More info in Console open on type dialog,P2,normal
Unexpected full build,P2,normal
ResourceDeltas are lost when merging deltas,P2,normal
Assertion failure during shutdown,P2,normal
Non-java project gets .classpath,P2,normal
No match found when query contains '?',P2,major
External JAR refresh - caching problem,P2,normal
More problems with importing.,P2,major
NPE when searching java method,P2,major
Finding references to variables does not find all occurances,P2,major
Problem in Java search [search],P2,major
Refactoring a package does not move the package's directory,P2,major
Error deleting parent folder of source folder,P2,normal
type view does not notice when jar disappears,P2,normal
Scrapbook shows wrong error message,P2,normal
Error doing Java Search,P2,major
Search in hierarchy misses dependent projects,P2,normal
copied file not shown in package explorer / java browser [ccp],P2,normal
Search in working copies doesn't find all matches,P2,normal
Java Model Notification needs notification that a java class was physically saved,P2,normal
ConcurrentModificationException in JavaModelManager.saving,P2,major
SearchPattern API: R_CASE_SENSITIVE vs. boolean isCaseSensitive,P2,minor
remove warnings from core runtime deprecations,P2,normal
Incorrect fine grain delta after method copy-rename,P2,normal
Deadlock when closing editors and save,P2,normal
[Navigator] Navigator popup causes Eclipse to hang.,P2,major
[1.5] [model] accessing annotation on Java elements,P2,enhancement
NPE renaming package,P2,normal
Error setting method breakpoint in 1.5 project,P2,normal
META-INF directories shown as empty META-INF.* packages in J2EE Navigator,P2,major
[scaling] Unable to locate source in monster workspace,P2,normal
No notification of change if a project is added or removed from a container,P2,enhancement
[model] type separator is ignored in BinaryType.getFullyQualifiedName(enclosingTypeSeparator),P2,major
[search] NPE in JavaSearchScope.addEnclosingProjectOrJar(..),P2,normal
JarPackageFragmentRoot slow to initialize,P2,normal
Enhance classpath container to support external class folders,P2,enhancement
[api] need api to get from binding key to a IJavaElement,P2,enhancement
Support getting default value from IMethod,P2,enhancement
IJavaElementDelta contains wrong data after APT processor is enabled,P2,critical
Incomplete type hierarchy with > 10 annotations,P2,major
APT contributed problems not showing up in problems view,P2,normal
[Workbench] [Doc] Need to document command line parameters,P2,normal
Preferences.importPreferences(path) does not throw exception for non preference file,P2,normal
[preferences] Remove temporary rebuild preference,P2,normal
All projects deletion triggers full workspace reindexing,P2,normal
[Dialogs] Resource deletion could be run in the background,P2,enhancement
[JFace] ModalContext support for notification of thread transfer,P2,enhancement
[Dialogs] Clean? dialog should be resizable,P2,normal
[Progress] [IDE] Deadlock using MoveFilesAndFoldersOperation from a refactoring participant,P2,critical
[PropertiesDialog] Can no longer change read-only property,P2,major
Long delay on package explorer selection changes in large workspace,P2,major
When deleting 10.000 files eclipse freezes,P2,major
errors in Platform user and isv doc,P2,normal
build cancelled by waiting (not run) job,P2,critical
Bolding should be configurable (1GKTYTO),P2,normal
Jumpy behaviour when adding/removing breakpoints (1GKZKJN),P2,normal
Changing a Java Editor preference scroll Editor to the top,P2,normal
"File ""save as"" bug, new file is read-only",P2,normal
F2 window accessability issues,P2,normal
Error marker hover text clipped,P2,minor
JavaDoc hover does not handel HTML comments,P2,normal
Index out of bounds on text hover,P2,normal
No content assist between left paren and string  literal,P2,normal
Incorrect code assist on Array -> Arrays,P2,normal
Temporary error message cannot be obtained using keyboard,P2,normal
ConcurrentModificationException while editing,P2,normal
Marks on overview ruler should change cursor on mouse over,P2,enhancement
Insert single propsal insert too soon,P2,normal
java editor refers to internal jcore classes,P2,normal
"""@"" not correctly handled in author tag",P2,trivial
error marker on last line of segmented view is clipped,P2,normal
Cannot 'type into' the code assist menu in a class body,P2,normal
SWTException in the editor,P2,normal
Paint listener result invisible,P2,critical
Exception not logged in StorageDocumentProvider,P2,normal
Java Editor: No hover for wiggly,P2,normal
Convert Line Delimiters should disable on read-only files,P2,normal
Status line update when selecting task in task list,P2,major
Assertion failed in MonoReconciler thread,P2,major
Empty CU after reorg,P2,major
shift right always inserts tabs and ignores my preferences,P2,normal
Text editor should not display tooltip and help infopop simultaneously,P2,normal
hover help stops working after mousing over end of file,P2,normal
"[About] Plug-in Details, more info missing",P2,normal
typing a quote ignores read-only status of file,P2,normal
[smart editing] Adding a method,P2,normal
[reconciling] Squiggles after rename refactoring,P2,major
[reconciling] ConcurrentModificationException in CompilationUnitAnnotationModel.endReporting,P2,major
Save as don't work anymore,P2,major
[misc] Assertion failure in TextFileBufferManager,P2,normal
File has been deleted dialog when renaming a CU,P2,normal
BadLocationException when pasting class with //,P2,normal
Impossible to open java file in external source path ...,P2,blocker
File gets read-only,P2,major
NPE in jface/ui text,P2,normal
[misc] autocomplete disabled when changing read-only status,P2,critical
IllegalStateException when file open in two perspectives,P2,major
"[projection] Code folding, formatting and undo - horrible consequences",P2,normal
[painting] IAE when reverting editor content,P2,normal
[projection] Folding in face of lots of errors and nesting,P2,normal
[projection] Folded code blocks Ctrl+UP/DOWN,P2,normal
[projection] ProjectionSummary.createSummary throws NPE if no configured annotation types,P2,normal
[projection] IllegalStateException in ProjectionTextStore.get(),P2,major
ConcurrentModificationException in AbstractLineTracker.flushRewriteSession,P2,major
[projection] NPE in TextViewer.modelRange2WidgetRange(),P2,major
[nls tooling] Properties File editor does not properly color continuation lines,P2,major
[Wizards] TVT3.1 #93 - Variables button is truncated in New File advanced options in RUS,P2,normal
Abandon the combo box of  preferenceDialog,P2,normal
[Import/Export] Project Import wizard unusably slow,P2,major
Import and Export menu options should be merged.,P2,normal
Close and reopen a project does not remove errors,P2,normal
More dependencies increase GUI waiting time [build path],P2,critical
Classes not implementing abstract methods compile without error,P2,normal
Consitent Out of Memory problems indexing (with multiple Java libraries),P2,critical
[1.5][compiler] AbstractMethodError on derived implementation of derived Interface declaration,P2,blocker
not showing Error indicator in project View but showing it on top of class file,P2,normal
E4.1: Null Pointer exception when previewing a nested feature,P2,major
[Navigator] Collapse all action,P2,enhancement
[Working Sets]  Directly edit a working set,P2,enhancement
[Linked Resources] Copy/move linked resources and existing resources,P2,normal
[Working Sets] Error editing resource working set with inaccessible folder,P2,normal
[Linked Resources] No error messages when validateLinkLocation returns warning,P2,normal
[Linked Resources] Disable/hide linked resource UI,P2,normal
[Model] WorkbenchContentProvider does not update on delete/copy with same name,P2,major
[Dialogs] NewFolderDialog does not check for existing files,P2,normal
[Linked Resources] Advanced button comes before options added by subclasses,P2,normal
[Navigator] Should not sync with selection in Navigator and Editor,P2,major
Non error messages are logged.,P2,major
No F1 for Help page in Search Dialog,P2,normal
[StatusHandling] ErrorDialog: Wrap message,P2,normal
[ErrorHandling] Ugly error dialog,P2,major
FilteredItemsSelectionDialog is flashing when typing,P2,major
[open type] sort prefix matches before camel case matches,P2,major
[Dialogs] FilteredItemsSelectionDialog: AIOOBE in refresh,P2,major
[Dialogs] FilteredItemsSelectionDialog should filter history before search results are available,P2,major
Menu icon missing in Quick outline,P2,major
[Templates] plugin.xml contains wrong name - should match name in generated product file,P2,major
Unusual comparator error in I-build and M-build,P2,normal
[BiDi] Implement contextual base text direction for StyledText,P2,normal
[Prefereces] preference to restart in fresh state (1G7HZJA),P2,enhancement
[Welcome] TVT - Welcome text does not wrap,P2,enhancement
[Coolbar] Tab order for coolbar items is backwards,P2,major
[PropertiesView] Properties view toolbar items are not on menus,P2,major
Poor hit-testing during DND in Navigator View,P2,major
[Coolbar] Reset Toolbar Layout action does not restore position of item.,P2,normal
[Coolbar] Coolbar is not saved with the perspective.,P2,normal
[Coolbar] tab order not maintained properly,P2,normal
[Navigator] Replacing linking with explicit synchronize action on views,P2,major
[Editor Mgmt] Navigation history drop-down contains blank items,P2,major
[Editor Mgmt] Restoring editor history item activates plugins,P2,major
IndexOutOfBoundsException: NavigationHistoryEntry.restoreState,P2,normal
[Coolbars] Need a mechanism to reduce the number of cool items,P2,enhancement
[Dialogs] ResourceListSelectionDialog should match open type wildcard behavior,P2,normal
[Navigator] Go to Resource dialog shows nothing when using * wildcard,P2,normal
[Coolbar] Can't restore combo box on toolbar,P2,major
[1.7][clean up][quick assist] Remove unnecessary type arguments (was: Suggest to use <> where applicable),P2,enhancement
[1.8][search][model] Hierarchy search involving lambda and anonymous class do not find the anonymous class,P2,major
copy/paste fails for .java files out of buid path (in resource folders) [ccp],P2,enhancement
cannot refactor/move static field to interface[refactoring],P2,enhancement
Move refactoring causes exception [refactoring],P2,normal
Move static method refactoring should help with called methods [refactoring],P2,normal
[content assist][correction] additional info should be accessible,P2,normal
enhance 'move static' to handle member types [refactoring],P2,enhancement
NPE in enable test of MoveStaticMembersRefactoring [refactoring],P2,major
Enable assertions during unit tests [JUnit],P2,normal
"""Errorless"" Launch Config fails [JUnit]",P2,normal
[Junit] sources,P2,normal
ConcurrentModificationException in Rename Method [refactoring],P2,normal
Exception when renaming a package [refactoring],P2,normal
Refactorings should inform user about unprecise matches,P2,normal
[refactor] Change method signature causes InvocationTargetException,P2,normal
AssertationFailedException in MoveInnerToTopRefactoring,P2,normal
JUnit does not give any feedback (i.e. busy) when starting tests. [JUnit],P2,normal
PackageExplorer shows elements twice,P2,normal
'Add to build path' action available on CUs [build path],P2,normal
'import static' becomes 'import' while renaming package,P2,normal
Package Explorer shouldn't fetch any children on startup. [package explorer],P2,normal
JUnit preference does not Restore Defaults [JUnit],P2,normal
type focus cannot be null [JUnit],P2,normal
[Dialogs][IDE] Open Resource dialog should accept pattern for matching folder path,P2,enhancement
[KeyBindings] request: Back/Forward keys and mouse buttons don't work with Eclipse,P2,normal
"[refactor/code completion] change method signature, code completion not useable",P2,normal
Extract local doesn't handle wildcards,P2,normal
[refactoring] Infer type argument misses cast removal opportunity,P2,normal
[refactoring] Change method signature does not disallow changing implementations of binary methods,P2,major
[content assist] Enhance additional info popup,P2,enhancement
JUnit plug-in launch dialog: have an option for anonymous workspace,P2,enhancement
[junit] Polish JUnit view - was: JUnit view cannot handle @Ignore,P2,normal
[JUnit] Update JUnit4 to 4.1,P2,normal
[rename] Refactoring text search fails to find occurences preceeded by #,P2,major
JDT UI JUnit tests fail when ordering of methods reversed,P2,normal
[JUnit] Update test suite wizard for JUnit 4: @RunWith(Suite.class)...,P2,normal
Cannot edit a class using Open Type dialog after having loaded source of a plugin,P2,normal
[rulers] overview ruler annotation arming not correct,P2,normal
[build path] use the new 'deprecated' and 'read-only' classpath variables,P2,enhancement
[open type] FilteredTypesSelectionDialog mixes 2 versions of SearchPattern,P2,major
[hovering] Text Hover does not vanish after having used Ctrl key,P2,major
[JUnit] LegacyTestRunListenerTest fails,P2,normal
[hovering] Enriched source hover changes size,P2,normal
[hovering] NPE in BrowserInformationControl,P2,major
[hovering] Clicking 'Configure Annotation Preferences' opens Preferences behind hover,P2,normal
[hovering] Should make sure that F2 hovers can be closed with Esc,P2,normal
[misc] Show Java Annotations in the Javadoc hover and view,P2,enhancement
PackagesViewContentProviderTests2.testAddCUFromPackageNotLogicalPackage fails sometimes,P2,normal
[JUnit][api] Need public API to provide JUnit test searching,P2,enhancement
[rulers] Make QuickDiff ruler accessible,P2,normal
[breadcrumb] Should not redraw when caret moved in same element,P2,normal
[api] Make RefactoringSaveHelper API,P2,enhancement
leaking OpenTypeSelectionDialogs,P2,major
[content assist] Esc Tab on additional info does not bring back the additional info,P2,normal
Regression on ScrollAnnotatedJavaEditorTest#testScrollJavaEditorLineWise1() perf test,P2,normal
[package explorer] Alternative package name shortening: abbreviation,P2,enhancement
Remove J2SE-7 EE support,P2,normal
[package explorer] 'Inner class files' filter seems to be ignored,P2,normal
[package explorer] Performance problem with refreshing external class folders,P2,major
"[1.7][quick fix] ""Change compiler compliance"" should change to Execution Environments",P2,normal
[quick assist][1.7] Offer to replace <> with the inferred type,P2,enhancement
[1.7] Diamond and conditional don't mix well (need to add explicit arguments),P2,normal
[1.7][hovering] Show inferred type for Diamond types,P2,enhancement
[1.7][quick fix] Change compiler compliance when diamond operator is used in 1.6 or lower,P2,enhancement
[1.7][quick fix] Quick fix to change the compliance to 1.7 doesn't trigger a build,P2,normal
[nls tooling][quick assist] IAE with 'Remove key' quick assist in Properties File editor,P2,normal
Make it easier to setup null analysis,P2,enhancement
[clean up] Regression: Remove unnecessary casts deletes code / causes compile errors,P2,major
[common navigator][package explorer] problem marker on package should not be repeated on parent package,P2,normal
[Workbench] Command-Q does not ask to confirm exit,P2,normal
[Progress] Progress view duplicates job name,P2,normal
[Graphics] Splash screen for Kepler,P2,normal
"[compiler][options][null] Set ""Null pointer access"" to warning by default",P2,normal
[compiler] inconsistent handling of unreachable code,P2,normal
BatchCompilerTest tests fail when the runtime JRE points to a path containing white spaces,P2,normal
[api] provide a mapping from problem id to preference key,P2,normal
[CommonNavigator] Can't Drop an External File into Project Explorer (Mac and Linux),P2,major
[Wizards] Wizard progress label not cleared between runnables,P2,normal
[Workbench] Use of hard coded font spews warnings on some platforms,P2,major
[Workbench] Ctrl-tab in maximized editor causes NullPointerException,P2,normal
[Perspectives] Perspective bar incorrectly updated when opening new perspective,P2,major
Eclipse stops opening editors,P2,critical
[Preferences] Export should prompt for save before exporting,P2,major
[Preferences] Compiler preference page does not layout status messages correctly,P2,normal
[Preferences] Cancel export preferences dialog exits preferences,P2,normal
[IDE] Deleting a linked folder can delete folder contents when read only files are involved,P2,critical
[launching] Import/Export of launch configs,P2,enhancement
Launching classes from closed projects,P2,enhancement
[variables] Support for custom details view widgets.,P2,enhancement
[evaluation] NPE from watch expression,P2,normal
Cannot set breakpoints in external source,P2,normal
Process console link with active context,P2,normal
IndexedVariablePartition has no children in InspectPopup.,P2,normal
[jres] unable to retrieve system properties,P2,normal
New Variables view is hard to use,P2,normal
VMDisconnectedException not caught by breakpoint,P2,normal
Remove transient 3.2 JRE container EE formats,P2,normal
"Using 0424-0010, I got org.eclipse.core.commands.common.NotDefinedException",P2,major
[preferences] Java->Debug preference page validates uninitialized fields,P2,major
[launching] LaunchManager keeps references on last resource delta,P2,major
Performance problem in detail pane when there is a lot of plugins.,P2,normal
[jres] JRE container classpath entries not computed properly per project,P2,critical
[vms] ArrayIndexOutOfBoundsException editing a source location,P2,major
Step keys become disabled,P2,critical
Logical structures are not imported from preferences,P2,normal
[hot code replace] hot code place not triggered,P2,critical
Context launch chooses Eclispe Application over Test Suite,P2,normal
"When hitting a breakpoint from the java perspective, the variable view is not populated",P2,normal
model proxy created for Java debug target in var view,P2,normal
NPE from add exception breakpoint dialog,P2,major
Setting Stop in main does not stop when launched,P2,normal
[launching] Deadlock deleting launch configuration,P2,normal
[launch] RelaunchLastAction should *not* be internal,P2,enhancement
[launching] Launch configuration dialog resizes willy-nilly to my frustration,P2,normal
[debug view] Add working directory + environment to process properties,P2,enhancement
Internal API use report should capture illegal API use,P2,enhancement
refactoring a member of a class refactors all watchpoints in that class,P2,normal
[Viewers] jFace: StructuredViewer::updateItem called twice on each element,P2,major
[PropertiesView] incorrect SetPropertyValueCommand#undo implementation,P2,normal
[Preferences] (regression) New project open persp preference ignored from 2.0.2 to 2.1 RC1,P2,major
[CellEditors] [DBCS] canna input mode fires bogus event from Text Control,P2,critical
[MPE] ClassCast exception Workbench page isPartVisiable for MultiPageSite,P2,normal
[RCP] Problem using the WorkbenchAdvisor with a menubar enabled and the shortcutbar and coolbar disabled.,P2,major
[ViewMgmt] createPartControl not called before setFocus or dispose(),P2,normal
[Perspectives] Toolbar MenuDetect listeners leaking,P2,normal
[RCP] [ViewMgmt] Multi-view instances not persisted properly across sessions,P2,major
[FAstView] FastViews added to fixed perspectives are still closeable.,P2,major
[ViewMgmt] [RCP] View in fixed perspective should not be minimizable,P2,major
[Navigator] (regression) Usability/Accessibility - Focus does not remain on file after rename in Navigator,P2,normal
[ViewMgmt] Layout info for placeholders not persisted properly between sessions,P2,major
[PropertiesView] Exception when entries added to properties view,P2,normal
[RCP] Reset Perspective does not work if no perspective toolbar shown (RCP),P2,major
[Perspectives] Placeholder folder error with multiple instance views,P2,normal
[Actions] Get cancel status and new name from CopyProjectOperation,P2,major
[RCP] Allow separation of declaration and placement of workbench extensions,P2,normal
[View Mgmt] Save confirmation dialog pops up when close ISaveablePart view,P2,normal
[ViewMgmt] [EditorMgmt] [Workbench] ClassCastException closing workbench,P2,major
[RCP] Menus created in WorkbenchAdvisor's fillActionBars are not displayed,P2,major
[Perspectives] [ViewMgmt] Folder tab does not indicate current view when using multi-instance views,P2,normal
[PropertiesView] PropertySheet can not properly refresh categorys with only one son after expanding and folding again,P2,major
[PerspectiveBar] NPE switching perspectives,P2,critical
Action delegate disposed twice if it implements both IActionDelegate2 and IWorkbenchWindowActionDelegate,P2,major
[PropertiesView] Flicker when resizing columns,P2,major
"[WorkbenchLauncher] missing ""select workspace"" dialog",P2,major
[HeapStatus] Heap status indicator accesses the preference store too often,P2,major
[Perspectives] (regression) perspectiveExtension view ratio ignored,P2,normal
[Perspectives] Customize Perspective Dialog has no mnemonics,P2,major
[Viewers] Tree viewer selection not revealed if unchanged,P2,major
[RCP] RCP performance tests show 50% slowdown since 3.1 RC1,P2,major
[About] Code to open error log has non-Foundation reference,P2,major
[Examples] Examples project used to build samples have warnings,P2,major
[PropertiesView] Properties view should delegate Save back to source part,P2,major
[CCombo] Popup list shows empty space at the bottom,P2,major
Save is very slow (burns cycles in the Package and Project Explorer),P2,major
[Commands] [performance] Activate 30 text editor test is slower than 3.4,P2,normal
[Compatibility] IEvaluationService.requestEvaluation() does not call property tester as it used to,P2,normal
Formatting splits package names in ugly ways,P2,normal
IDOMMethod.getReturnType returns null for all methods,P2,normal
Register java file types with the team plugin,P2,critical
ClassCastException on rename temp,P2,normal
Incorrect url reported when using the applet launcher plugin,P2,critical
nullPointerException being thrown by Class Type.resolveBinding(),P2,major
ClassFileReader fails on Gnome Twain class,P2,normal
Bad line number info when multiple statements on same line,P2,normal
ast: problems with missing ParenthesizedExpression nodes,P2,critical
ClassFormatError compiling a method with a compilation problem,P2,critical
JDTCompilerAdapter and compiler.batch.Main out of sync in I20021210 build,P2,blocker
Quick Fix: Type Mismatch -> Cast bug [quick fix],P2,normal
NPE in Surround with try/catch block [refactoring],P2,major
Quick Fix: IAE n invocation,P2,normal
New formater fails with out of memory error,P2,major
uppercase ZIP and JAR classpath entries ignored,P2,normal
Exception when trying to evaluate in Snippet Editor,P2,normal
Should refactor boolean fields into bits,P2,normal
[1.6][compiler] Compiling for 1.6 should not require compiler to run on 1.6 itself,P2,major
[api tooling] Incremental builder for Api tooling,P2,normal
[performance] ManifestAnalyzer is causing a 2x performance drop in the updating of classpath of JavaProjects in comparison with 3.4,P2,major
NPE in InternalTreeModelViewer,P2,major
Breakpoints view not updating on Mac,P2,major
[Fiexible Hierarchy] View state is not saved correctly when top view element is deep in a tree hierarchy.,P2,major
